FAB,EQPT_GROUP_NAME,LOCATION,MAX_QUEUE_TIME_IN_MINS,MIN_ELAPSE_TIME,MAX_PREFETCH_BUFFER,REMARK
SIMTECH,EG_WAFER_1,,,,,
SIMTECH,EG_WAFER_2,,,,,
SIMTECH,EG_WAFER_3,,,,,
SIMTECH,EG_WAFER_4,,,,,
SIMTECH,EG_WAFER_5,,,,,
SIMTECH,EG_WAFER_6,,,,,
SIMTECH,EG_WAFER_7,,,,,
SIMTECH,EG_WAFER_9,,,,,
SIMTECH,EG_WAFER_8,,,,,
SIMTECH,EG_WAFER_10,,,,,
SIMTECH,EG_WAFER_11,,,,,
SIMTECH,EG_WAFER_12,,,,,
SIMTECH,EG_WAFER_13,,,,,
SIMTECH,EG_WAFER_14,,,,,
SIMTECH,EG_WAFER_15,,,,,
SIMTECH,EG_WAFER_16,,,,,
SIMTECH,EG_BATCH_1,,,,,
SIMTECH,EG_WAFER_17,,,,,
SIMTECH,EG_BATCH_2,,,,,
SIMTECH,EG_BATCH_3,,,,,
SIMTECH,EG_WAFER_18,,,,,
SIMTECH,EG_BATCH_4,,,,,
SIMTECH,EG_WAFER_19,,,,,
SIMTECH,EG_WAFER_20,,,,,
SIMTECH,EG_LOT_1,,,,,
SIMTECH,EG_WAFER_21,,,,,
SIMTECH,EG_LOT_2,,,,,
SIMTECH,EG_BATCH_5,,,,,
SIMTECH,EG_WAFER_22,,,,,
SIMTECH,EG_WAFER_23,,,,,
SIMTECH,EG_WAFER_25,,,,,
SIMTECH,EG_WAFER_24,,,,,
SIMTECH,EG_WAFER_26,,,,,
SIMTECH,EG_WAFER_27,,,,,
SIMTECH,EG_WAFER_28,,,,,
SIMTECH,EG_WAFER_29,,,,,
SIMTECH,EG_WAFER_30,,,,,
SIMTECH,EG_WAFER_31,,,,,
SIMTECH,EG_BATCH_6,,,,,
SIMTECH,EG_WAFER_32,,,,,
SIMTECH,EG_BATCH_11,,,,,
SIMTECH,EG_BATCH_7,,,,,
SIMTECH,EG_BATCH_8,,,,,
SIMTECH,EG_BATCH_9,,,,,
SIMTECH,EG_BATCH_10,,,,,
SIMTECH,EG_LOT_3,,,,,
SIMTECH,EG_WAFER_33,,,,,
SIMTECH,EG_WAFER_34,,,,,
SIMTECH,EG_WAFER_35,,,,,
SIMTECH,EG_WAFER_36,,,,,
SIMTECH,EG_WAFER_37,,,,,
SIMTECH,EG_WAFER_38,,,,,
SIMTECH,EG_LOT_4,,,,,
SIMTECH,EG_LOT_5,,,,,
SIMTECH,EG_LOT_6,,,,,
SIMTECH,EG_WAFER_39,,,,,
SIMTECH,EG_LOT_7,,,,,
SIMTECH,EG_WAFER_40,,,,,
SIMTECH,EG_LOT_9,,,,,
SIMTECH,EG_WAFER_41,,,,,
SIMTECH,EG_LOT_8,,,,,
SIMTECH,EG_WAFER_42,,,,,
SIMTECH,EG_WAFER_43,,,,,
SIMTECH,EG_WAFER_44,,,,,
SIMTECH,EG_WAFER_45,,,,,
SIMTECH,EG_BATCH_12,,,,,
SIMTECH,EG_WAFER_46,,,,,
SIMTECH,EG_WAFER_47,,,,,
SIMTECH,EG_WAFER_48,,,,,
SIMTECH,EG_WAFER_49,,,,,
SIMTECH,EG_WAFER_50,,,,,
SIMTECH,EG_LOT_10,,,,,
SIMTECH,EG_BATCH_13,,,,,
SIMTECH,EG_WAFER_51,,,,,
SIMTECH,EG_LOT_11,,,,,
SIMTECH,EG_LOT_12,,,,,
SIMTECH,EG_LOT_13,,,,,
SIMTECH,EG_LOT_14,,,,,
SIMTECH,EG_LOT_15,,,,,
SIMTECH,EG_LOT_16,,,,,
SIMTECH,EG_LOT_17,,,,,
SIMTECH,EG_LOT_18,,,,,
SIMTECH,EG_BATCH_14,,,,,
SIMTECH,EG_WAFER_52,,,,,
SIMTECH,EG_WAFER_53,,,,,
SIMTECH,EG_WAFER_54,,,,,
SIMTECH,EG_WAFER_55,,,,,
SIMTECH,EG_LOT_19,,,,,
SIMTECH,EG_LOT_20,,,,,
SIMTECH,EG_WAFER_56,,,,,
SIMTECH,EG_WAFER_57,,,,,
SIMTECH,EG_BATCH_15,,,,,
SIMTECH,EG_WAFER_58,,,,,
SIMTECH,EG_WAFER_59,,,,,
SIMTECH,EG_LOT_21,,,,,
SIMTECH,EG_BATCH_16,,,,,
SIMTECH,EG_WAFER_60,,,,,
SIMTECH,EG_WAFER_61,,,,,
SIMTECH,EG_WAFER_62,,,,,
SIMTECH,EG_LOT_22,,,,,
SIMTECH,EG_WAFER_63,,,,,
SIMTECH,EG_WAFER_64,,,,,
SIMTECH,EG_LOT_23,,,,,
SIMTECH,EG_WAFER_65,,,,,
SIMTECH,EG_WAFER_66,,,,,
SIMTECH,EG_WAFER_67,,,,,
SIMTECH,EG_WAFER_69,,,,,
SIMTECH,EG_WAFER_68,,,,,
SIMTECH,EG_WAFER_70,,,,,
SIMTECH,EG_LOT_24,,,,,
SIMTECH,EG_LOT_25,,,,,
SIMTECH,EG_LOT_26,,,,,
SIMTECH,EG_WAFER_71,,,,,
SIMTECH,EG_WAFER_72,,,,,
SIMTECH,EG_LOT_27,,,,,
SIMTECH,EG_WAFER_73,,,,,
SIMTECH,EG_LOT_28,,,,,
SIMTECH,EG_LOT_29,,,,,
SIMTECH,EG_WAFER_74,,,,,
SIMTECH,EG_WAFER_75,,,,,
SIMTECH,EG_WAFER_78,,,,,
SIMTECH,EG_WAFER_79,,,,,
SIMTECH,EG_WAFER_77,,,,,
SIMTECH,EG_WAFER_76,,,,,
SIMTECH,EG_BATCH_17,,,,,
SIMTECH,EG_BATCH_18,,,,,
SIMTECH,EG_BATCH_19,,,,,
SIMTECH,EG_LOT_30,,,,,
SIMTECH,EG_BATCH_20,,,,,
SIMTECH,EG_BATCH_21,,,,,
SIMTECH,EG_LOT_31,,,,,
SIMTECH,EG_LOT_32,,,,,
SIMTECH,EG_WAFER_80,,,,,
SIMTECH,EG_WAFER_81,,,,,
SIMTECH,EG_WAFER_82,,,,,
SIMTECH,EG_BATCH_22,,,,,
SIMTECH,EG_WAFER_83,,,,,
SIMTECH,EG_WAFER_84,,,,,
SIMTECH,EG_WAFER_85,,,,,
SIMTECH,EG_WAFER_86,,,,,
SIMTECH,EG_WAFER_87,,,,,
SIMTECH,EG_WAFER_88,,,,,
SIMTECH,EG_WAFER_89,,,,,
SIMTECH,EG_WAFER_90,,,,,
SIMTECH,EG_WAFER_91,,,,,
SIMTECH,EG_LOT_33,,,,,
SIMTECH,EG_WAFER_93,,,,,
SIMTECH,EG_WAFER_92,,,,,
SIMTECH,EG_WAFER_94,,,,,
SIMTECH,EG_WAFER_95,,,,,
SIMTECH,EG_WAFER_96,,,,,
SIMTECH,EG_WAFER_97,,,,,
SIMTECH,EG_WAFER_98,,,,,
SIMTECH,EG_LOT_34,,,,,
SIMTECH,EG_WAFER_99,,,,,
SIMTECH,EG_WAFER_100,,,,,
SIMTECH,EG_LOT_35,,,,,
SIMTECH,EG_LOT_36,,,,,
SIMTECH,EG_WAFER_101,,,,,
SIMTECH,EG_WAFER_102,,,,,
SIMTECH,EG_WAFER_103,,,,,
SIMTECH,EG_WAFER_104,,,,,
SIMTECH,EG_WAFER_105,,,,,
SIMTECH,EG_LOT_37,,,,,
SIMTECH,EG_WAFER_106,,,,,
SIMTECH,EG_WAFER_107,,,,,
SIMTECH,EG_LOT_38,,,,,
SIMTECH,EG_WAFER_108,,,,,
SIMTECH,EG_WAFER_109,,,,,
SIMTECH,EG_WAFER_110,,,,,
SIMTECH,EG_WAFER_111,,,,,
SIMTECH,EG_WAFER_112,,,,,
SIMTECH,EG_WAFER_113,,,,,
SIMTECH,EG_BATCH_23,,,,,
