OP_GROUP,SHIFT,COMPLIANCE_SCORE,NUMBER_OF_OPERATOR,REMARK
EG_BATCH_1_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_11_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_17_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_18_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_2_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_21_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_22_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_3_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_4_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_5_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_6_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_7_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_8_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_9_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_10_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_11_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_13_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_19_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_20_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_21_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_22_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_23_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_24_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_25_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_26_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_27_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_28_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_29_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_30_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_33_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_34_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_35_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_36_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_37_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_38_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_100_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_101_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_102_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_103_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_104_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_105_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_106_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_107_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_108_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_109_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_110_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_111_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_112_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_113_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_23_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_24_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_25_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_26_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_27_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_28_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_29_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_30_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_31_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_32_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_33_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_34_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_35_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_37_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_38_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_39_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_40_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_42_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_43_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_44_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_45_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_46_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_47_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_48_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_49_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_51_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_52_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_53_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_54_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_55_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_56_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_57_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_59_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_60_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_61_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_62_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_63_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_64_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_65_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_66_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_67_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_68_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_69_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_70_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_71_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_72_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_73_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_74_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_75_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_76_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_77_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_78_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_79_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_80_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_81_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_82_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_83_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_84_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_85_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_86_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_87_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_88_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_89_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_90_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_91_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_92_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_93_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_94_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_95_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_96_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_97_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_99_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_1_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_4_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_20_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_12_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_7_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_8_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_15_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_17_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_19_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_20_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_15_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_6_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_16_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_13_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_21_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_2_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_9_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_5_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_8_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_14_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_12_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_11_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_9_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_5_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_7_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_22_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_13_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_19_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_17_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_18_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_16_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_4_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_12_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_14_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_15_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_1_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_14_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_10_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_18_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_16_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_2_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_10_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_23_OP_GR,LT_SHIFT_1,1,9999,
