FAB,ROUTE,STEP,SUB_STEP,ALTERNATIVE_NO,RATE_TO_ALTERNATIVE,EQPT_GROUP_NAME,RECIPE,SETUP,BATCH_SETUP,SAMPLING_RATE,SAMPLING_RATE_DIST,SAMPLING_SIZE,REWORK_RATE,REWORK_RATE_DIST,REWORK_ROUTE,REWORK_STEP,REWORK_RETURN_ROUTE,REWORK_RETURN_STEP,SPLIT_RATE,SPLIT_RATE_DIST,SPLIT_SIZE,MERGE_STEP,HOLD_RATE,HOLD_RATE_DIST,HOLD_DURATION,SCRAP_RATE,SCRAP_RATE_DIST,SCRAP_SIZE,STANDARD_LEAD_TIME,ODD,STAGE,MASK_LAYER,RTD_VAR,STATS_VAR_1,STATS_VAR_2,STATS_VAR_3,BRANCH_OPTION,BRANCH_GROUP,BRANCH_RATE,OPERATION_SEQ_NR,WORK_CENTER,OPTIONAL_STEP,NOT_VALID_OP,SPS_MAIN_FLAG
SIMTECH,ROUTE_14,OP_1,1,0,,EG_LOT_3,REC_LOT_1,REC_LOT_1,REC_LOT_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.3788,5371.200561,OP_1,0,0,ROUTE_14|PROC_8|1,,,,,,1,PROC_8,0,0,1
SIMTECH,ROUTE_14,OP_2,2,0,,EG_LOT_4,REC_LOT_121,REC_LOT_121,REC_LOT_121,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.00224,5371.200561,OP_2,0,0,ROUTE_14|MET_27|2,,,,,,2,MET_27,0,0,0
SIMTECH,ROUTE_14,OP_2,3,0,,EG_LOT_28,REC_LOT_232,REC_LOT_232,REC_LOT_232,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.60392,5371.200561,OP_2,0,0,ROUTE_14|MET_40|2,,,,,,2,MET_40,0,0,1
SIMTECH,ROUTE_14,OP_3,1,0,,EG_WAFER_26,REC_WAFER_264,REC_WAFER_264,REC_WAFER_264,0.51,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,6.70896,5097.599975,OP_3,0,0,ROUTE_14|MET_13|3,,,,,,3,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_3,2,0,,EG_WAFER_65,REC_WAFER_97,REC_WAFER_97,REC_WAFER_97,0.51,1,,0.89,1,,,,,0,0,0,,0.0376,1,170.399994,0,0,0,4.66944,5097.599975,OP_3,0,0,ROUTE_14|DEP_12|3,,,,,,3,DEP_12,0,0,1
SIMTECH,ROUTE_14,OP_4,1,0,,EG_WAFER_87,REC_WAFER_713,REC_WAFER_713,REC_WAFER_713,0.1,1,,0.01,1,,,,,0.03,1,3,,0.069,1,136.800003,0,0,0,3.16824,4305.599975,OP_4,0,0,ROUTE_14|PHT_1|4,,,,,,4,PHT_1,0,0,1
SIMTECH,ROUTE_14,OP_5,1,0,,EG_WAFER_88,REC_WAFER_8,REC_WAFER_8,REC_WAFER_8,1,1,,0.17,1,,,,,0,0,0,,0.035,1,559.799988,0,0,0,2.604,4118.400268,OP_5,1,0,ROUTE_14|PHT_13|5,,,,,,5,PHT_13,0,0,1
SIMTECH,ROUTE_14,OP_6,1,0,,EG_WAFER_87,REC_WAFER_30,REC_WAFER_30,REC_WAFER_30,0.84,1,,0,0,,,,,0.01,1,2,OP_7,0.0167,1,34.799999,0,0,0,3.7752,3959.999878,OP_6,1,0,ROUTE_14|PHT_1|6,,,,,,6,PHT_1,0,0,1
SIMTECH,ROUTE_14,OP_7,1,0,,EG_LOT_7,REC_LOT_90,REC_LOT_90,REC_LOT_90,1,1,,0,0,,,,,0,0,0,,0.0426,1,102,0,0,0,1.19712,3729.599975,OP_7,1,0,ROUTE_14|MET_36|7,,,,,,7,MET_36,0,0,1
SIMTECH,ROUTE_14,OP_8,1,0,,EG_WAFER_26,REC_WAFER_166,REC_WAFER_166,REC_WAFER_166,1,1,,0,0,,,,,0,0,0,,0.0159,1,124.199997,0,0,0,0.41664,3657.599975,OP_8,1,0,ROUTE_14|MET_13|8,,,,,,8,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_8,2,0,,EG_BATCH_19,REC_BATCH_8,REC_BATCH_8,REC_BATCH_8,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.36064,3657.599975,OP_8,1,0,ROUTE_14|WET_1|8,,,,,,8,WET_1,0,0,1
SIMTECH,ROUTE_14,OP_9,1,0,,EG_BATCH_20,REC_BATCH_214,REC_BATCH_214,REC_BATCH_214,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.42336,3499.200073,OP_9,1,0,ROUTE_14|WET_22|9,,,,,,9,WET_22,0,0,1
SIMTECH,ROUTE_14,OP_9,2,0,,EG_WAFER_26,REC_WAFER_200,REC_WAFER_200,REC_WAFER_200,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0.41664,3499.200073,OP_9,1,0,ROUTE_14|MET_13|9,,,,,,9,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_10,1,0,,EG_WAFER_26,REC_WAFER_166_1,REC_WAFER_166_1,REC_WAFER_166_1,1,1,,0.92,1,,,,,0,0,0,,0,0,0,0,0,0,0.41664,3268.799927,OP_10,1,0,ROUTE_14|MET_13|10,,,,,,10,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_10,2,0,,EG_BATCH_21,REC_BATCH_242,REC_BATCH_242,REC_BATCH_242,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.8188,3268.799927,OP_10,1,0,ROUTE_14|WET_23|10,,,,,,10,WET_23,0,0,1
SIMTECH,ROUTE_14,OP_10,3,0,,EG_WAFER_26,REC_WAFER_200_1,REC_WAFER_200_1,REC_WAFER_200_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0.41664,3268.799927,OP_10,1,0,ROUTE_14|MET_13|10,,,,,,10,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_11,1,0,,EG_WAFER_87,REC_WAFER_713_1,REC_WAFER_713_1,REC_WAFER_713_1,0.08,1,,0,0,,,,,0.04,1,1,OP_13,0.087,1,695.400024,0,0,0,3.16824,3052.800171,OP_11,1,0,ROUTE_14|PHT_1|11,,,,,,11,PHT_1,0,0,1
SIMTECH,ROUTE_14,OP_12,1,0,,EG_WAFER_88,REC_WAFER_8_1,REC_WAFER_8_1,REC_WAFER_8_1,1,1,,0.2,1,,,,,0,0,0,,0.0694,1,232.199997,0,0,0,2.604,2851.200073,OP_12,2,0,ROUTE_14|PHT_13|12,,,,,,12,PHT_13,0,0,1
SIMTECH,ROUTE_14,OP_13,1,0,,EG_WAFER_87,REC_WAFER_74,REC_WAFER_74,REC_WAFER_74,0.86,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.7752,2707.200073,OP_13,2,0,ROUTE_14|PHT_1|13,,,,,,13,PHT_1,0,0,1
SIMTECH,ROUTE_14,OP_14,1,0,,EG_LOT_7,REC_LOT_95,REC_LOT_95,REC_LOT_95,1,1,,0,0,,,,,0,0,0,,0.0601,1,48.599998,0,0,0,1.19712,2476.799927,OP_14,2,0,ROUTE_14|MET_36|14,,,,,,14,MET_36,0,0,1
SIMTECH,ROUTE_14,OP_15,2,0,,EG_BATCH_15,REC_BATCH_208,REC_BATCH_208,REC_BATCH_208,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.00616,2476.799927,OP_15,2,0,ROUTE_14|PHT_15|15,,,,,,15,PHT_15,0,0,1
SIMTECH,ROUTE_14,OP_15,3,0,,EG_LOT_3,REC_LOT_193,REC_LOT_193,REC_LOT_193,0,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0,2476.799927,OP_15,2,0,ROUTE_14|PROC_8|15,,,,,,15,PROC_8,0,0,0
SIMTECH,ROUTE_14,OP_15,5,0,,EG_LOT_3,REC_LOT_238,REC_LOT_238,REC_LOT_238,0,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0,2476.799927,OP_15,2,0,ROUTE_14|PROC_8|15,,,,,,15,PROC_8,0,0,0
SIMTECH,ROUTE_14,OP_15,6,0,,EG_WAFER_26,REC_WAFER_84,REC_WAFER_84,REC_WAFER_84,1,1,,0,0,,,,,0.25,1,12,OP_16,0,0,0,0,0,0,1.92048,2476.799927,OP_15,2,0,ROUTE_14|MET_13|15,,,,,,15,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_16,1,0,,EG_LOT_3,REC_LOT_189,REC_LOT_189,REC_LOT_189,0,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0,2217.599731,OP_16,2,0,ROUTE_14|PROC_8|16,,,,,,16,PROC_8,0,0,0
SIMTECH,ROUTE_14,OP_16,2,0,,EG_LOT_30,REC_LOT_19,REC_LOT_19,REC_LOT_19,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.94696,2217.599731,OP_16,2,0,ROUTE_14|WET_12|16,,,,,,16,WET_12,0,0,1
SIMTECH,ROUTE_14,OP_16,3,0,,EG_WAFER_26,REC_WAFER_128,REC_WAFER_128,REC_WAFER_128,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.92048,2217.599731,OP_16,2,0,ROUTE_14|MET_13|16,,,,,,16,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_17,1,0,,EG_WAFER_26,REC_WAFER_166_2,REC_WAFER_166_2,REC_WAFER_166_2,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0.41664,1915.199829,OP_17,2,0,ROUTE_14|MET_13|17,,,,,,17,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_17,2,0,,EG_BATCH_21,REC_BATCH_242_1,REC_BATCH_242_1,REC_BATCH_242_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.8188,1915.199829,OP_17,2,0,ROUTE_14|WET_23|17,,,,,,17,WET_23,0,0,1
SIMTECH,ROUTE_14,OP_17,4,0,,EG_LOT_7,REC_LOT_100,REC_LOT_100,REC_LOT_100,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.19712,1915.199829,OP_17,2,0,ROUTE_14|MET_36|17,,,,,,17,MET_36,0,0,0
SIMTECH,ROUTE_14,OP_18,1,0,,EG_WAFER_57,REC_WAFER_20,REC_WAFER_20,REC_WAFER_20,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.39808,1627.199829,OP_18,2,0,ROUTE_14|PROC_1|18,,,,,,18,PROC_1,0,0,1
SIMTECH,ROUTE_14,OP_20,1,0,,EG_BATCH_12,REC_BATCH_177,REC_BATCH_177,REC_BATCH_177,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,4.27776,1368,OP_20,2,0,ROUTE_14|PHT_14|20,,,,,,20,PHT_14,0,0,1
SIMTECH,ROUTE_14,OP_22,1,0,,EG_LOT_8,REC_LOT_56,REC_LOT_56,REC_LOT_56,1,1,,0.31,1,,,,,0,0,0,,0.1905,1,44.400002,0,0,0,2.7828,1180.800049,OP_22,2,0,ROUTE_14|MET_25|22,,,,,,22,MET_25,0,0,1
SIMTECH,ROUTE_14,OP_23,1,0,,EG_WAFER_80,REC_WAFER_126,REC_WAFER_126,REC_WAFER_126,0.59,1,,0,0,,,,,0.02,1,11,OP_27,0.062,1,197.399994,0,0,0,4.4316,1008,OP_23,2,0,ROUTE_14|WET_24|23,,,,,,23,WET_24,0,0,1
SIMTECH,ROUTE_14,OP_23,2,0,,EG_LOT_8,REC_LOT_63,REC_LOT_63,REC_LOT_63,0.59,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.82264,1008,OP_23,2,0,ROUTE_14|MET_25|23,,,,,,23,MET_25,0,0,0
SIMTECH,ROUTE_14,OP_24,1,0,,EG_WAFER_94,REC_WAFER_641,REC_WAFER_641,REC_WAFER_641,0.74,1,,0,0,,,,,0.48,1,12,OP_27,0,0,0,0,0,0,0.7452,576,OP_24,2,0,ROUTE_14|MET_41|24,,,,,,24,MET_41,0,0,1
SIMTECH,ROUTE_14,OP_25,1,0,,EG_WAFER_65,REC_WAFER_100,REC_WAFER_100,REC_WAFER_100,0.74,1,,0,0,,,,,0.01,1,3,OP_25,0.0269,1,381,0,0,0,4.19832,532.799988,OP_25,2,0,ROUTE_14|DEP_12|25,,,,,,25,DEP_12,0,0,1
SIMTECH,ROUTE_14,OP_25,2,0,,EG_WAFER_94,REC_WAFER_635,REC_WAFER_635,REC_WAFER_635,0.74,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.71216,532.799988,OP_25,2,0,ROUTE_14|MET_41|25,,,,,,25,MET_41,0,0,0
SIMTECH,ROUTE_14,OP_26,1,0,,EG_WAFER_39,REC_WAFER_491,REC_WAFER_491,REC_WAFER_491,1,1,,0,0,,,,,0,0,0,,0.0133,1,648.600037,0,0,0,2.88984,172.800003,OP_26,2,0,ROUTE_14|MET_1|26,,,,,,26,MET_1,0,0,1
SIMTECH,ROUTE_14,OP_27,1,0,,EG_LOT_3,REC_LOT_115,REC_LOT_115,REC_LOT_115,1,1,,0,0,,,,,0,0,0,,0.0268,1,186,0,0,0,0,0,OP_27,2,0,ROUTE_14|PROC_8|27,,,,,,27,PROC_8,0,0,1
SIMTECH,ROUTE_14,OP_28,1,0,,EG_LOT_3,REC_LOT_111,REC_LOT_111,REC_LOT_111,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0,0,OP_28,2,0,ROUTE_14|PROC_8|28,,,,,,28,PROC_8,0,0,1
SIMTECH,ROUTE_15,OP_1,1,0,,EG_LOT_3,REC_LOT_1_1,REC_LOT_1_1,REC_LOT_1_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.57344,8107.199219,OP_1,0,0,ROUTE_15|PROC_8|1,,,,,,1,PROC_8,0,0,1
SIMTECH,ROUTE_15,OP_2,1,0,,EG_WAFER_26,REC_WAFER_40,REC_WAFER_40,REC_WAFER_40,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.17152,8020.799805,OP_2,0,0,ROUTE_15|MET_13|2,,,,,,2,MET_13,0,0,0
