RETICLE,QUANTITY
RET_57,1
RET_58,1
RET_59,1
RET_60,1
RET_61,1
RET_62,1
RET_63,1
RET_64,1
RET_65,1
RET_66,1
RET_80,1
RET_81,1
RET_82,1
RET_83,1
RET_84,1
RET_85,2
RET_86,1
RET_87,1
RET_88,1
RET_89,1
RET_90,1
RET_91,1
RET_92,1
RET_1280,1
RET_1281,1
RET_1282,1
RET_1283,1
RET_1329,1
RET_1330,1
RET_1331,1
RET_1332,1
RET_1605,1
RET_1606,1
RET_1607,1
RET_1608,1
RET_1609,1
RET_1610,1
RET_1611,1
RET_1612,1
RET_1613,1
RET_1614,1
RET_1667,1
RET_1668,1
RET_1669,1
RET_1670,1
RET_1671,1
RET_1672,1
RET_1673,1
RET_1674,1
RET_1675,1
RET_1839,1
RET_1840,1
RET_1841,1
RET_1842,1
RET_1843,1
RET_1844,1
RET_1845,1
RET_1846,2
RET_2039,1
RET_2040,1
RET_2041,1
RET_2043,1
RET_2044,1
RET_2045,1
RET_2046,1
RET_2047,2
RET_2315,1
RET_2316,1
RET_2317,1
RET_2318,1
RET_2319,1
RET_2320,1
RET_2321,1
RET_2322,1
RET_2323,1
RET_2324,1
RET_2325,1
RET_2326,1
RET_2327,1
RET_2328,1
RET_2329,1
RET_2330,1
RET_2331,1
RET_2332,1
RET_2335,1
RET_2336,1
RET_2337,2
RET_2338,1
RET_2339,1
RET_2340,1
RET_2341,1
RET_2342,1
RET_2343,1
RET_2344,1
RET_2345,2
RET_2346,1
RET_2347,1
RET_2348,1
RET_2349,1
RET_2350,1
RET_2351,2
RET_2352,1
RET_2353,1
RET_3371,1
RET_3372,1
RET_3373,1
RET_3374,1
RET_3375,1
RET_3376,1
RET_3378,1
RET_3379,1
RET_3380,1
RET_3381,1
RET_3382,1
RET_3383,1
RET_3384,1
RET_3385,1
RET_3386,1
RET_3387,1
RET_3388,1
RET_3389,2
RET_3604,1
RET_3605,1
RET_3606,1
RET_3607,1
RET_3608,1
RET_3609,1
RET_3610,1
RET_3611,1
RET_3612,1
RET_3613,1
RET_3614,1
RET_3615,1
RET_3616,1
RET_3617,2
RET_3618,1
RET_3619,1
RET_3620,1
RET_3621,1
RET_3622,1
RET_3623,1
RET_3699,1
RET_3700,1
RET_3701,1
RET_3702,1
RET_3703,1
RET_3704,1
RET_3705,1
RET_3706,1
RET_3707,1
RET_3708,1
RET_3709,1
RET_3710,1
RET_3711,1
RET_3712,1
RET_3713,1
RET_3714,1
RET_3715,1
RET_3750,1
RET_3751,1
RET_3752,1
RET_3753,1
RET_3754,1
RET_3755,1
RET_3756,1
RET_3757,1
RET_3758,1
RET_3759,1
RET_3760,1
RET_3761,1
RET_3762,1
RET_3763,1
RET_3764,1
RET_3765,1
RET_3766,1
RET_3796,1
RET_3797,1
RET_3798,1
RET_3799,1
RET_3800,1
RET_3801,1
RET_3802,1
RET_3803,1
RET_3804,1
RET_3805,1
RET_3806,1
RET_3807,1
RET_3808,1
RET_3809,1
RET_3810,1
RET_3811,1
RET_3812,1
RET_3813,1
RET_3814,1
RET_3815,1
RET_3816,1
RET_3817,1
RET_3818,1
RET_3819,1
RET_3820,1
RET_3821,1
RET_3822,1
RET_3823,1
RET_3824,1
RET_3825,1
RET_3826,1
RET_3827,1
RET_3828,1
RET_3829,1
RET_3830,1
RET_3831,1
RET_3832,1
RET_3833,1
RET_3834,1
RET_3835,1
RET_3836,1
RET_3837,1
RET_3838,1
RET_3839,1
RET_3840,1
RET_3956,1
RET_3957,1
RET_3958,1
RET_3959,1
RET_3960,1
RET_3961,1
RET_3962,1
RET_3963,1
RET_3964,1
RET_3965,1
RET_3966,1
RET_3967,1
RET_3968,1
RET_3969,1
RET_3970,1
RET_3971,1
RET_3972,1
RET_3973,1
RET_3974,1
RET_3975,1
RET_3976,1
RET_3977,1
RET_3978,1
RET_3979,1
RET_3980,1
RET_3982,1
RET_3984,1
RET_3988,1
RET_3989,1
RET_3990,1
RET_3991,1
RET_3992,1
RET_3993,1
RET_3994,1
RET_3995,1
RET_3996,1
RET_3997,1
RET_3998,1
RET_3999,1
RET_4000,1
RET_4001,1
RET_4002,1
RET_4003,1
RET_4004,1
RET_4005,1
RET_4205,1
RET_4206,1
RET_4207,1
RET_4208,1
RET_4209,1
RET_4210,1
RET_4211,1
RET_4212,1
RET_4213,1
RET_4214,1
RET_4215,1
RET_4216,1
RET_4217,1
RET_4218,1
RET_4219,1
RET_4220,1
RET_4221,1
RET_4222,1
RET_4223,1
RET_4224,1
RET_4225,1
RET_4226,1
RET_4257,1
RET_4258,1
RET_4259,1
RET_4262,1
RET_4263,1
RET_4291,1
RET_4292,1
RET_4293,1
RET_4294,1
RET_4295,1
RET_4658,1
RET_4659,1
RET_4660,1
RET_4661,1
RET_4662,1
RET_4663,1
RET_4664,1
RET_4665,1
RET_4666,1
RET_4667,1
RET_4668,1
RET_4669,1
RET_4670,1
RET_4671,1
RET_4672,1
RET_4673,1
RET_4674,1
RET_4675,1
RET_4676,1
RET_4677,1
RET_4678,1
RET_4679,1
RET_4680,1
RET_4681,1
RET_4682,1
RET_4683,1
RET_4684,1
RET_4685,1
RET_4686,1
RET_4720,1
RET_4721,1
RET_4722,1
RET_4723,1
RET_4724,1
RET_4725,1
RET_4726,1
RET_4727,1
RET_4728,1
RET_4729,1
RET_4730,1
RET_4731,1
RET_4830,1
RET_4831,1
RET_4832,1
RET_4833,1
RET_4834,1
RET_4835,1
RET_4836,1
RET_4837,1
RET_4840,1
RET_4842,1
RET_4844,1
RET_4845,1
RET_4846,1
RET_4848,1
RET_5077,1
RET_5078,1
RET_5079,1
RET_5080,1
RET_5081,1
RET_5082,1
RET_5083,1
RET_5084,1
RET_5085,1
RET_5086,1
RET_5087,1
RET_5088,1
RET_5089,2
RET_5090,1
RET_5091,1
RET_5092,1
RET_5093,1
RET_5094,1
RET_5095,1
RET_5096,1
RET_5097,2
RET_5098,1
RET_5099,1
RET_5100,1
RET_5101,1
RET_5102,1
RET_5103,1
RET_5104,1
RET_5105,1
RET_5106,1
RET_5107,1
RET_5108,1
RET_5109,1
RET_5110,1
RET_5111,1
RET_5112,1
RET_5113,1
RET_5114,1
RET_5115,1
RET_5118,1
RET_5120,1
RET_5121,1
RET_5123,1
RET_5125,1
RET_5128,1
RET_5129,1
RET_5130,1
RET_5132,1
RET_5133,2
RET_5134,1
RET_5135,1
RET_5136,1
RET_5137,1
RET_5138,1
RET_5139,1
RET_5140,2
RET_5265,1
RET_5266,1
RET_5267,1
RET_5268,1
RET_5269,1
RET_5270,1
RET_5271,1
RET_5272,1
RET_5273,1
RET_5274,1
RET_5275,1
RET_5276,1
RET_5277,1
RET_5278,1
RET_5279,1
RET_5280,1
RET_5281,1
RET_5282,1
RET_5283,1
RET_5284,1
RET_5285,1
RET_5286,1
RET_5287,1
RET_5288,1
RET_5289,1
RET_5290,1
RET_5291,1
RET_5292,1
RET_5293,1
RET_5294,1
RET_5295,1
RET_5296,1
RET_5418,1
RET_5419,1
RET_5420,2
RET_5421,1
RET_5422,2
RET_5423,1
RET_5424,1
RET_5425,1
RET_5426,1
RET_5427,1
RET_5428,1
RET_5429,1
RET_5430,1
RET_5431,1
RET_5729,1
RET_5730,1
RET_5731,1
RET_5732,1
RET_5733,1
RET_5734,1
RET_5735,1
RET_5736,1
RET_5737,1
RET_5738,1
RET_5739,1
RET_5742,1
RET_5743,1
RET_5744,1
RET_5745,1
RET_5747,1
RET_5748,1
RET_5749,1
RET_5751,1
RET_5752,1
RET_5753,1
RET_5754,1
RET_5755,1
RET_5756,1
RET_5931,1
RET_5932,1
RET_5933,1
RET_5934,1
RET_5935,1
RET_5936,1
RET_5937,1
RET_5938,1
RET_5939,1
RET_5940,1
RET_5941,1
RET_5942,1
RET_6222,1
RET_6223,1
RET_6224,1
RET_6225,1
RET_6226,1
RET_6227,1
RET_6228,1
RET_6229,1
RET_6230,1
RET_6232,1
RET_6233,1
RET_6234,1
RET_6235,1
RET_6237,1
RET_6239,1
RET_6240,1
RET_6241,1
RET_6242,1
RET_6243,1
RET_6244,1
RET_6245,1
RET_6246,1
RET_6247,1
RET_6248,1
RET_6249,1
RET_6250,1
RET_6251,1
RET_6252,1
